PAD,PIN,GROUP,ORDER
26,PA0/ADC0/DI/SDA/PCINT0,CPU,0
25,PA1/ADC1/DO/PCINT1,CPU,1
23,PA2/ADC2/INT1/USCK/SCL/PCINT2,CPU,2
22,PA3/AREF/PCINT3,CPU,3
17,PA4/ADC3/ICP0/PCINT4,CPU,4
15,PA5/ADC4/AIN2/PCINT5,CPU,5
14,PA6/ADC5/AIN0/PCINT6,CPU,6
13,PA7/ADC6/AIN1/PCINT7,CPU,7
30,PB0/MOSI/DI/SDA/OC1A/PCINT8,CPU,8
31,PB1/MISO/DO/OC1A/PCINT9,CPU,9
32,PB2/SCK/USCK/SCL/OC1B/PCINT10,CPU,10
2,PB3/OC1B/PCINT11,CPU,11
7,PB4/ADC7/OC1D/CLKI/XTAL1/PCINT12,CPU,12
8,PB5/ADC8/OC1D/CLKO/XTAL2/PCINT13,CPU,13
10,PB6/ADC9/INT0/T0/PCINT14,CPU,14
11,PB7/ADC10/RESET/PCINT15,CPU,15
18,AVCC,CPU,100
21,AGND,CPU,101
5,GND,CPU,101
4,VCC,CPU,101
PAD,GND,CPU,102
1,NC,NOCONNECT,
3,NC,NOCONNECT,
6,NC,NOCONNECT,
9,NC,NOCONNECT,
12,NC,NOCONNECT,
16,NC,NOCONNECT,
19,NC,NOCONNECT,
20,NC,NOCONNECT,
24,NC,NOCONNECT,
27,NC,NOCONNECT,
28,NC,NOCONNECT,
29,NC,NOCONNECT,
