"Product","Number of Outputs ","Vin Min  (V)","Vin Max  (V)","Output Current  (A)","Output Voltage ","Features ","Packages ","RMS Noise  (µV)","PSRR  (dB) Typical","PSRR  (dB) Guaranteed"
"LT3008","1","2","45","0.02","Adj, 1.2, 1.5, 1.8, 2.5, 3.3, 5","Shutdown","2x2 DFN-6,SOT-23","92","70","58"
"LT3007","1","2","45","0.02","Adj, 1.2, 1.5, 1.8, 2.5, 3.3, 5","Shutdown","SOT-23","92","70","58"
"LT3009","1","1.6","20","0.02","Adj, 1.2, 1.5, 1.8, 2.5, 3.3, 5","Shutdown","2x2 DFN-6,SC-70","150","72","60"
"LT3014","1","3","80","0.02","Adj","Shutdown","3x3 DFN-8,SOT-23","115","70","60"
"LT3014B","1","3","80","0.02","Adj","-","3x3 DFN-8,SOT-23","150","70","60"
"LT3010","1","3","80","0.05","Adj","Shutdown","MS-8E","100","75",""
"LT3010-5","1","3","80","0.05","5","Shutdown","MS-8E","100","75",""
"LT3011","1","3","80","0.05","Adj","Power Good, Shutdown","3x3 DFN-10,MS-12E","100","85",""
"LT3061","1","1.6","45","0.1","Adj","Active Output Discharge, Shutdown","2x3 DFN-8,MS-8E","30","85","70"
"LT3060","1","1.6","45","0.1","Adj, 1.2,1.5, 1.8, 2.5, 3.3, 5, 15","Shutdown","2x2 DFN-8,SOT-23","30","85","65"
"LT3050","1","1.6","45","0.1","Adj, 3.3, 5","Output Current Monitor, Shutdown","3x2 DFN-12,MS-12E","30","85","58"
"LT3020","1","0.9","10","0.1","Adj, 1.2, 1.5, 1.8","Shutdown","3x3 DFN-8,MS-8","245","64",""
"LT3027","2","1.8","20","0.1","Adj","Separate Power Inputs, Shutdown","3x3 DFN-10,MS-10E","20","65",""
"LT3023","2","1.8","20","0.1","Adj","Shutdown","3x3 DFN-10,MS-10E","20","65",""
"LT1761","1","1.8","20","0.1","Adj, 1.2, 1.5, 1.8, 2, 2.5, 2.8, 3, 3.3, 5","Shutdown","SOT-23","20","65",""
"LT1120","1","2.9","36","0.125","Adj","Shutdown","N-8,SO-8","","",""
"LT1120A","1","2.9","36","0.125","Adj","Shutdown","N-8,SO-8","","",""
"LT1762","1","1.8","20","0.15","Adj, 2.5, 3, 3.3, 5","Shutdown","MS-8","20","65",""
"LTC1844","1","1.6","6.5","0.15","Adj,1.5, 1.8, 2.5,2.8, 3.3","Shutdown","SOT-23","60","50",""
"LT1121","1","4.17","36","0.150","Adj, 3.3, 5","Shutdown","N-8,SO-8,SOT-223,TO-92","","",""
"LT3042","1","1.8","20","0.2","Adj","Ultralow Noise, Ultrahigh PSRR, Current Source Reference, Output Current Monitor, Power Good, Shutdown","3x3 DFN-10,MS-10E","0.8","117","95"
"LT3062","1","1.6","45","0.2","Adj","Shutdown","2x3 DFN-8,MS-8E","30","85","70"
"LT3063","1","1.6","45","0.2","Adj","Active Output Discharge, Shutdown","2x3 DFN-8,MS-8E","30","85","70"
"LT3082","1","1.2","40","0.2","Adj","Current Source Reference","3x3 DFN-8,SOT-223,SOT-23","33","90",""
"LT3012","1","4","80","0.25","Adj","Shutdown","4x3 DFN-12,TSSOP-16","100","75",""
"LT3012B","1","4","80","0.25","Adj","-","4x3 DFN-12,TSSOP-16","100","75",""
"LT3013","1","4","80","0.25","Adj","Power Good, Shutdown","4x3 DFN-12,TSSOP-16","100","75",""
"LT3013B","1","4","80","0.25","Adj","Power Good","4x3 DFN-12,TSSOP-16","100","75",""
"LTC3035","1","1.7","5.5","0.3","Adj","Integrated Charge Pump, Shutdown","3x2 DFN-8","150","",""
"LTC3025","1","0.9","5.5","0.3","Adj","Separate Bias Pin, Shutdown","2x2 DFN-6","80","",""
"LT1521","1","4.3","20","0.3","Adj, 3, 3.3, 5","Shutdown","MS-8,SO-8,SOT-223","","",""
"LT1962","1","1.8","20","0.3","Adj,1.5, 1.8, 2.5, 3, 3.3, 5","Shutdown","MS-8","20","65",""
"LT3055","1","2","45","0.5","Adj","Power Good, Output Current Monitor, Temperature Monitor, Shutdown","4x3 DFN-16,MS-16E","25","85","70"
"LT3045-1","1","1.8","20","0.5","","Ultralow Noise, Ultrahigh PSRR, Current Source Reference, Output Current Monitor, Power Good, Shutdown, VIOC","3x3 DFN-12,MS-12E","0.8","76",""
"LT1763","1","1.8","20","0.5","Adj,1.5, 1.8, 2.5, 3, 3.3, 5","Shutdown","4x3 DFN-12,SO-8","20","65",""
"LT3045","1","1.8","20","0.5","Adj","Ultralow Noise, Ultrahigh PSRR, Current Source Reference, Output Current Monitor, Power Good, Shutdown","3x3 DFN-10,MS-12E","0.8","76",""
"LT3029","2","1.8","20","0.5","Adj","Separate Power Inputs, Shutdown","4x3 DFN-16,MS-16E","30","67","55"
"LT3085","1","1.2","36","0.5","Adj","Current Source Reference","2x3 DFN-6,MS-8E","40","90",""
"LT3066","1","1.8","45","0.5","Adj","Active Output Discharge, Shutdown","4x3 DFN-12,MS-12E","25","85","70"
