"PartNumber","Description","Status","Note For Status","VIN (Min) (V)","VIN (Max) (V)","IOUT(mA)","VOUT (Min) (V)","VOUT (Max) (V)","Iq(Typ)(uA)","PSRR@1KHz(dB)","Vdropout(mV)","Accuracy (±%)","Noise (uVrms)","Special Features","Package","Grade"
"MP2019","40V, 300mA, Low-Quiescent Current
Adjustable Output Linear Regulator","Active","","3","40","300","1.2","15","10","45","420 (IO:300mA)","2","-","Current LimitPower Good","SOIC-8","Catalog"
"MP2014","40V, 500mA, Low Quiescent Current
Linear Regulator","Active","","3","40","500","1.2","15","10","45","750 (IO:500mA)","2","-","Current LimitPower Good","TO252-5","Catalog"
"MPQ2019"," industrial grade, 40V, 300mA, Low-Quiescent Current
Adjustable Output Linear Regulator","Active","","3","40","300","1.2","15","10","45","420 (IO:300mA)","2","-","Current LimitPower Good","SOIC-8","Industrial"
"MPQ2013A","40V, 150mA, Low Quiescent Current Linear Regulator with EN Pin","New","","2.5","40","150","1.215","15","3.2","41","620 (IO:150mA)","2","-","Current Limit","QFN2x2-6QFN3x3-8","Industrial"
"MP2013A","40V, 150mA, Low Quiescent Current Linear Regulator","Active","","2.5","40","150","1.215","15","3.2","41","620 (IO:150mA)","2","-","Current limit","QFN2x2-6 QFN3x3-8","Catalog"
"MP2011A","24V, 150mA, Low Quiescent Current Linear Regulator","New","","2.5","24","150","1.215","15","3.3","41","700 (IO:150mA)","1.5","-","Current limit","QFN2x2-6","Catalog"
"MP2015A","24V, 150mA, Low Quiescent Current Linear Regulator","New","","2.5","24","150","1.215","15","3.3","41","700 (IO:150mA)","2","-","Current limit","QFN2x2-6 QFN3x3-8 TSOT23-4","Catalog"
"MP20056","Low-Noise, High-PSRR, 250mA, Linear Regulator","Active","","2.5","5.5","250","0.8","5","150","65","100 (IO:250mA)","2","13","Current Limit","QFN2x2-8TSOT23-5","Catalog"
"MPQ20051-AEC1","Low Noise, High PSRR, 1A Linear Regulator with AEC-Q100 qualified","Active","","2.5","5.5","1000","0.8","5","110","63","140 (IO:1000mA)","2","13","Current Limit","QFN3x3-8","Automotive"
"MPQ20051","Industrial Grade, Low Noise, High PSRR, 1A Linear Regulator","Active","","2.5","5.5","1000","0.8","5","110","63","140 (IO:1000mA)","2","13","Current Limit","QFN3x3-8","Industrial"
"MPQ20056","Industrial Grade, Low-Noise, High-PSRR, 250mA, Linear Regulator","Active","","2.5","5.5","250","0.8","5","150","63","100 (IO:250mA)","2","13","Current Limit","QFN2x2-8TSOT23-5","Industrial"
"MPQ20056-AEC1","Low-Noise, High-PSRR, 250mA Linear Regulator AEC-Q100 Qualified","Active","","2.5","5.5","250","0.8","5","150","63","100 (IO:250mA)","2","13","Current Limit","QFN2x2-8TSOT23-5","Automotive"
"MPQ8904-AEC1","Industrial / Automotive Grade 500mA Linear Regulator","Active","","2.5","6.5","500","0.5","5","140","78","300 (IO:500mA)","-","-","Power GoodCurrent Limit","QFN2x3-8","Automotive"
"MP8903","Low Dropout 150mA Linear Regulator","Active","","2.7","6.5","150","1.25","5","-","50","150 (IO:150mA)","2","-","-","QFN2x2-8TSOT23-5","Catalog"
"MP8902","Low Dropout 250mA Linear Regulator","Active","","2.7","6.5","250","1.25","5","125","70","230 (IO: 250mA)","2","-","-","QFN2x2-8","Catalog"
"MP8801","Low Dropout 150mA Linear Regulator","Active","","2.7","6.5","150","1.25","5","125","70","150 (IO:150mA)","2","-","-","TSOT23-5","Catalog"
"MP20051","Low Noise, High PSRR,1A Linear Regulator","Active","","2.5","5.5","1000","0.8","5","110","63","140 (IO:1000mA)","2","13","Current Limit","SOIC8EQFN3x3-8","Catalog"
"MP8802","Low Dropout 250mA Linear Regulator","Active","","2.7","6.5","250","1.25","5","125","70","230 (IO: 250mA)","2","-","-","TSOT23-5","Catalog"
"MP20046","Fast Transient Response, 2A Low Dropout Voltage Regulator","Active","","2.7","5.5","2000","1.5","3.3","75","70","210 (IO: 2000mA)","0.1","17","Power GoodCurrent Limit","QFN3x3-10SOIC8E","Catalog"
"MP20049","Ultra-Low Noise, High PSRR 150mA Linear Regulator in 0.8*0.8mm WLCSP","Active","","2.3","6","150","-","-","55","78","50 (IO: 120mA)","1","16","Current Limit","WLCSP0.8x0.8-4","Catalog"
"MP2040","Fast Transient Response, 3A Dual Supply Very Low Dropout Linear Regulator","Active","","1.1","5","3000","0.9","3.3","3500","70","150 (IO:3000mA)","2","80","Power GoodCurrent Limit","QFN3x3-10QFN5x5-32","Catalog"
"MPQ8903","Industrial Low Dropout 150mA Linear Regulator","Active","","2.7","6.5","150","1.25","5","-","50","150 (IO:150mA)","2","-","-","TSOT23-5","Industrial"
"MP20075","3A, DDR Termination Regulator","Active","","1.05","3.6","3000","-","-","1300","-","-","2","-","-","MSOP8E","Catalog"
"MP20045","Low Noise, 1A Linear Regulator","Active","","2.5","5.5","1000","1.5","5","110","56","140 (IO:1000mA)","2.5","13","Power GoodCurrent Limit","QFN3x3-8SOIC8E","Catalog"
"MP20073","2A, DDR Termination Regulator","Active","","1.3","6","2000","-","-","1300","-","-","2","-","-","MSOP8E","Catalog"
"MP2016","42V, 30mA, Low Power Adjustable Output Linear Regulator","Active","","4","42","30","1.2","40","12","50","700 (IO:30mA)","2","-","-","TSOT23-5QFN2x3-8","Catalog"
"MP20048","Capacitor-Free, 250mA,Low Dropout Voltage Regulator","Active","","1.7","5.5","250","1.234","5","350","35","60 (IO: 250mA)","1","37","Current Limit","TSOT23-5","Catalog"
"MP2007","3A, DDR Termination Regulator","Active","","1.3","6","3000","4.5","5.5","1300","-","-","2","-","-","MSOP8E","Catalog"
"MP2009","Ultra-Low-Noise Low-Dropout, 120mA Linear Regulator","Active","","2","6","120","-","-","50","78","172 (IO:120mA)","1","16","Current limit","SC70-5","Catalog"
"MP2030","3A Dual Supply Very Low Dropout Linear Regulator","Active","","1.1","5.5","3000","0.9","3.8","220","65","150 (IO:3000mA)","2","80","Power GoodCurrent Limit","QFN3x3-10QFN5x5-32","Catalog"
"MP2005","800mA High PSRR, ULDO Linear Regulator","Active","","1","5.5","800","0.5","4","104","65","70 (IO:800mA)","2","-","Current Limit","QFN2x3-8","Catalog"
"MP2000","Low Input Voltage 150mA Linear Regulator","Active","","1.35","6","150","0.5","5","65","50","250 (IO: 100mA), 300 (IO: 150mA)","3","-","Current Limit","TSOT23-5","Catalog"
"MP8904","500mA Linear Regulator","Active","","2.5","6.5","500","0.5","5","100","65","300 (IO:500mA)","-","-","Power GoodCurrent Limit","QFN2x3-8","Catalog"
"MP2002","Low Input Voltage 500mA Linear Regulator","Active","","1.35","6.5","500","0.5","5","100","26","290 (IO: 500mA)","-","-","Current LimitPower Good","QFN2x3-8","Catalog"
